statistic,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
count,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
mean,26.99591836734694,0.9183673469387755,0.0,0.0,0.0,0.9877551020408163,27.461224489795917,60.648979591836735,88.11020408163266,0.6646103673926216,106.47885927390986,98.13249762540593,0.0,0.10419589416439325,0.34433389965756994,0.01664475722530067,0.08531626129138124,0.0822260016069995,130.75300044688944,2.765642447587506,0.7631971729704867,0.2650322492200519,0.025842456252782708,0.25622122279538245,1.7383755559985847
std,14.87557629664287,1.1020981237345628,0.0,0.0,0.0,1.1252745845343093,15.219821204957475,34.4987414978881,32.58997787273052,0.4817728035620526,52.4780653764944,53.09909812147905,0.0,0.029883225337492145,0.18336467600388368,0.01170740102991567,0.024613763369399046,0.04154662916227124,25.75982773848616,1.654019593508514,0.4584188774761691,0.14685519390771323,0.01640518960154264,0.14141424575531164,0.267923739075806
min,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.024140621351741554,0.6702122645175846,3.7884876797141964,0.0,0.04127098100500194,0.08093629992058277,0.0,0.02607008415141419,0.019471599966110247,88.44292449951172,0.3171623419736883,0.08249767655347347,0.014683792764608846,0.0013390022629070938,0.014683792764608846,0.7839964913964456
25%,15.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,67.0,0.307164741850792,67.8799377933369,46.57875506770487,0.0,0.08342887316743886,0.22715460140999735,0.00911090541913176,0.06935862316001756,0.054391487808892656,110.84972513133081,1.4369844814959158,0.4548224021874958,0.1457009179911596,0.014870971735827326,0.14285070686020657,1.6116316206915862
50%,24.0,1.0,0.0,0.0,0.0,1.0,25.0,69.0,95.0,0.5627626934161274,108.5801483601488,97.48818166533398,0.0,0.10013346401308958,0.2919884918673219,0.01303296674937111,0.08170164939277859,0.07156729733714769,127.98331567012903,2.481203180699803,0.6623505523211206,0.23961542822949752,0.022816533548032272,0.2366890363094731,1.7662000559076525
75%,37.0,2.0,0.0,0.0,0.0,2.0,38.0,89.0,119.0,0.8737604455386336,145.57374842656577,142.6847865911028,0.0,0.11901885025914549,0.4178949090934837,0.021665413302611604,0.0973972957614731,0.09585927875327901,144.312010734312,3.68070671893115,0.913730174544035,0.35559387467301995,0.03324002396874838,0.3419978587259682,1.9047874008977033
max,70.0,7.0,0.0,0.0,0.0,3.0,71.0,111.0,119.0,2.6852443368539585,203.56575390520217,198.27277005792988,0.0,0.2556627991317443,0.9639768844056156,0.08752263997262986,0.19983135355693435,0.28172390971406347,235.15488412039622,7.455719637768585,2.6852443368539585,0.7734943155576927,0.14204241449592897,0.7734943155576927,2.4611808079222657
