LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID17408,17408,0,34.963069915771484,57.04842344967607,44.83660776488739,0.0,1.0,1,0.31,1,,319.94594594594594,305.0,234.0,512.0,11838.0,68.76608738887776,0.14316229515083065,1.165341071286646
ID17585,17585,0,39.462120056152344,57.01670650581208,44.79799404126428,0.0,12.0,12,0.31,1,,324.7567567567568,298.0,226.0,448.0,12016.0,63.59918125145838,0.13754808024561044,1.2348705629753034
ID18034,18034,0,35.493064880371094,57.07620850740048,44.907557244534104,0.0,2.0,2,0.31,1,,309.2432432432432,288.0,219.0,470.0,11442.0,69.17546345883594,0.12592677146254855,0.999967904579432
ID18196,18196,0,37.80760192871094,57.04307479299838,44.65274685626517,0.0,3.0,3,0.31,1,,322.05405405405406,297.0,235.0,491.0,11916.0,68.28858125873117,0.1405916029255658,1.1626256189632433
ID17157,17157,0,35.89825439453125,56.97825409926353,44.727178222933404,0.0,11.0,11,0.31,1,,312.2972972972973,299.0,223.0,461.0,11555.0,69.69093072865238,0.1270460323444167,1.0102791935931257
ID16905,16905,0,33.06554412841797,57.037844823467445,44.704332470848854,0.0,6.0,6,0.31,1,,316.5135135135135,308.0,252.0,403.0,11711.0,46.282719130255195,0.1294302361522797,1.5673995581234446
ID17226,17226,0,31.747314453125,56.98369242922311,44.71573244501319,0.0,7.0,7,0.31,1,,307.4054054054054,296.0,224.0,432.0,11374.0,51.573819510085336,0.12512989592004398,1.3257774206937398
ID17535,17535,0,33.75361633300781,57.01476823287182,44.99906865414199,0.0,0.0,0,0.31,1,,310.5405405405405,281.0,235.0,475.0,11490.0,64.63469767968397,0.133606753888942,1.1325270043546436
ID17536,17536,1,75.80970001220703,83.04391528424532,49.23212281709179,0.0,0.0,0,0.31,1,,486.35135135135135,465.0,314.0,854.0,17995.0,145.07894713190092,0.2302704646552764,1.2549122732868143
ID17409,17409,1,73.99201965332031,83.06480441966106,49.2425751081835,0.0,1.0,1,0.31,1,,471.13513513513516,470.0,265.0,744.0,17432.0,117.29217132210253,0.19862631043885112,1.331249420784754
ID17159,17159,1,60.71537399291992,83.0837874208741,49.16334526404593,0.0,11.0,11,0.31,1,,427.8378378378378,397.0,253.0,703.0,15830.0,119.25614671172521,0.19665239704669507,1.1791244452812117
ID17096,17096,1,75.0959243774414,83.14115650136577,49.05791745292988,0.0,8.0,8,0.31,1,,454.1621621621622,414.0,289.0,724.0,16804.0,124.74273826860924,0.19428019103934507,1.18453518187155
ID16968,16968,1,82.2166748046875,83.13905867168955,49.162142505814,0.0,10.0,10,0.31,1,,464.9189189189189,417.0,281.0,786.0,17202.0,146.72222023234895,0.2084307751533369,1.0930785988989482
ID17736,17736,1,84.28833770751953,83.05691189216529,49.05308738970857,0.0,18.0,18,0.31,1,,472.18918918918916,432.0,266.0,831.0,17471.0,153.23109595891026,0.2267216213986424,1.139058544853016
ID19273,19273,1,83.7183837890625,83.13600652847101,48.96387409489063,0.0,19.0,19,0.31,1,,465.94594594594594,416.0,298.0,712.0,17240.0,127.33877517733418,0.2293829659862393,1.3654595444616402
ID18761,18761,1,41.56930923461914,83.13623330060456,48.812358598891386,0.0,27.0,27,0.31,1,,386.1621621621622,366.0,286.0,584.0,14288.0,76.90813911324251,0.13646938858296873,1.2058822802305103
ID17354,17354,1,66.5047607421875,83.05603390531152,49.25930948165449,0.0,5.0,5,0.31,1,,433.7837837837838,419.0,279.0,692.0,16050.0,109.21694392740002,0.1848231900533909,1.2391280960374105
ID16906,16906,1,79.86286926269531,83.08318110184274,49.148770839680374,0.0,6.0,6,0.31,1,,466.0810810810811,442.0,268.0,763.0,17245.0,134.97929437476662,0.21738105297637136,1.2331601069044993
ID18314,18314,1,65.5278549194336,83.13885638006516,48.87417981935874,0.0,26.0,26,0.31,1,,417.0810810810811,383.0,285.0,664.0,15432.0,110.27424862546064,0.1925613291587505,1.2214191686633082
ID17291,17291,1,74.35537719726562,83.1294749262941,49.0499729791886,0.0,16.0,16,0.31,1,,457.4054054054054,405.0,296.0,832.0,16924.0,142.83643704513125,0.21013859318885894,1.1121490334795507
ID17228,17228,1,72.92666625976562,83.13924441215607,49.19738803675178,0.0,7.0,7,0.31,1,,469.9189189189189,456.0,285.0,818.0,17387.0,141.61065135284343,0.22217344712730897,1.2064694095165491
ID17037,17037,1,84.27796173095703,83.080251937973,49.13809631231089,0.0,9.0,9,0.31,1,,479.0810810810811,418.0,277.0,856.0,17726.0,151.331383683913,0.22522260987069365,1.1638767636524583
ID17808,17808,1,71.8848876953125,83.16145856032233,49.01513199057621,0.0,15.0,15,0.31,1,,462.43243243243245,434.0,303.0,766.0,17110.0,131.03785300026448,0.20261877090393565,1.1891406098672719
ID18576,18576,1,87.04230499267578,83.08577950429755,48.85216794781147,0.0,24.0,24,0.31,1,,470.97297297297297,439.0,298.0,767.0,17426.0,146.6129610926686,0.2221747641180262,1.167925207272384
ID18259,18259,1,69.33654022216797,83.08864542347274,49.20858545507334,0.0,4.0,4,0.31,1,,428.64864864864865,383.0,270.0,746.0,15860.0,123.08989854217576,0.19873445084206184,1.154673538056004
