LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frames),(frames),(frames),(pixels),(pixels),(pixels),(pixels),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(quality),(pixels),(pixels),,(pixels/frames),,(rad/frames)
Track_0,0,0,22,1,0,0,0,1,22.0,0.0,22.0,0.02668406459908046,76.4176757616554,127.39236499907247,0.0,0.1066562667504153,0.27678881908414577,0.012807822348993766,0.06819838345457913,0.08410832182339008,34.233202327381484,2.274103528214883,0.19384785604381582,0.011733882942447572,0.00121291202723093,0.011372159031866799,1.9014563685050123
Track_1,1,1,37,1,0,0,0,1,37.0,0.0,37.0,0.33217526899773603,106.5730808826138,94.32755824976346,0.0,0.1121627752434323,0.6739452216160341,0.008945852367375755,0.08577500613497342,0.12029012584548514,49.76879372467866,4.046805761130939,0.9956305837799238,0.08208332413387313,0.008977709972911785,0.08004179598290989,1.8718713607157846
Track_2,2,2,48,0,0,0,0,0,47.0,0.0,47.0,1.236338148839806,135.9071563179171,98.84755719214269,0.0,0.10436874901139842,0.37882350301735335,0.020840036948689654,0.08398487003842697,0.06965873678436632,52.84744111696879,4.905331203535728,1.236338148839806,0.25203968856346787,0.026305066996591617,0.252039688563468,1.9559632512528835
Track_3,3,3,40,0,0,0,0,0,39.0,0.0,39.0,1.8137836497688617,186.79425099580732,98.96919085048812,0.0,0.08177955072994259,0.23820757587488353,0.011258535244628397,0.06451340832610407,0.06366369894885902,48.57688159942627,3.1894024784677613,1.8137836497688617,0.568690738159905,0.046507273070996454,0.5686907381599051,1.573638563143381
Track_4,4,4,70,0,0,0,0,0,69.0,0.0,69.0,0.8635172214537629,27.1647481571579,111.24705295202855,0.0,0.08992742740550866,0.5874420043934523,0.015572301636298505,0.07248199705574476,0.08575164928254828,86.37716685703822,6.2049924909800955,0.9031082242754195,0.13916490998321385,0.012514742339909606,0.1391649099832138,1.8093637540291818
Track_5,5,5,40,2,0,0,0,1,41.0,0.0,41.0,0.8291835711773051,26.910097855344844,60.781081218661896,0.0,0.09035031187159386,0.23102095069833622,0.004523213667630875,0.08458496738332122,0.05750705948426397,46.32777423858643,3.648730495833698,0.8291835711773051,0.22725262173353394,0.02022398954090988,0.22383973139630417,1.8303962448898863
Track_6,6,6,44,2,0,0,0,2,46.0,1.0,47.0,0.5679330094790238,115.6430631292008,112.91534670325872,0.0,0.07092222165860211,0.15894294957613794,0.00666217933879926,0.06479548977121771,0.039702548820707985,44.936472329226405,3.293843929676932,0.7195179370595334,0.17242256208985834,0.012346369771283127,0.17408323488108954,2.0581321056081285
