statistic,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
count,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
mean,25.70063694267516,0.9904458598726115,0.0,0.0,0.0,0.9044585987261147,26.101910828025478,50.611464968152866,76.71337579617834,0.7499896249926745,81.53292996067871,72.33497787806465,0.0,0.09993512023315486,0.31679694910250145,0.01736857465104857,0.08384285647418882,0.07541078352330016,46.88049774168787,2.5569596239737225,0.83533665650437,0.30601003427635876,0.029026369013089755,0.2963845595765654,1.7023094245719639
std,12.905389303521067,1.1923228029307145,0.0,0.0,0.0,1.0316613326616502,12.865827493940841,33.113156691711275,29.072466681020188,0.5061757938911302,47.766417226104544,28.454246851360562,0.0,0.026879039598166708,0.1691832203116276,0.011682824279017932,0.0239995584956437,0.03748649294825186,11.446276319100566,1.4174781443428028,0.47840246352357707,0.1576448260661603,0.01718605020110011,0.1529520168971433,0.2534942144469077
min,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.03194353921721749,1.6851779079594678,2.0270680585105896,0.0,0.030977543388207473,0.06873890040407638,0.0,0.022533392276184908,0.019586125189943248,31.977133750915527,0.2957830792024863,0.08154555605411186,0.023497778779767588,0.0023747812222558993,0.023207821666565404,0.6225752939884717
25%,14.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,48.0,0.33658768516792814,44.65013932571707,52.177119059892306,0.0,0.08337290587947421,0.20429364362176353,0.009178535280549955,0.07081241212218961,0.051563208336522,38.660616874694824,1.3553434234640882,0.4453661101790595,0.18593418702966752,0.017086302896570663,0.1836241498581325,1.550032491790924
50%,24.0,1.0,0.0,0.0,0.0,1.0,25.0,55.0,84.0,0.6510242308310785,72.10647374652947,76.01257180026023,0.0,0.09518002967684266,0.26994093525255203,0.014473763036313618,0.07991396729441434,0.06631647905549329,43.84385285554109,2.45719663373663,0.775588992514967,0.2882676225732663,0.02661791408380781,0.2787179875613215,1.708668616829367
75%,37.0,2.0,0.0,0.0,0.0,1.0,37.0,80.0,104.0,1.132473629675511,118.7963325234267,95.6141415904359,0.0,0.1120964641362596,0.38135222085941767,0.021751651748377177,0.09178774731136732,0.08621781211753153,50.95922123302113,3.5524691655864986,1.1714605625833718,0.4157778194700224,0.03653140740888745,0.3981569562214283,1.8693193155847605
max,79.0,7.0,0.0,0.0,0.0,3.0,78.0,103.0,115.0,2.1729797023545054,178.59950454638158,116.83557167615064,0.0,0.20254559011662793,0.9965136256792642,0.07096398490636498,0.22664431984660063,0.24353639693451612,90.21728849411011,8.825724602866902,2.1740938118344935,0.888450098827677,0.12280896935495053,0.9483694576124221,2.5741571265599896
