LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID98,98,0,36.54720687866211,76.41804574681551,127.36063599086339,0.0,1.0,1,0.31,1,,351.64864864864865,351.0,260.0,423.0,13011.0,45.12157417972535,0.1378214798238043,1.8879804217231146
ID297,297,0,36.934696197509766,76.43964970914483,127.27295670196595,0.0,12.0,12,0.31,1,,352.9189189189189,352.0,272.0,434.0,13058.0,44.31288900683561,0.13225919873888967,1.8606080706270467
ID74,74,0,36.19966506958008,76.44282933732265,127.34609937588485,0.0,3.0,3,0.31,1,,351.0810810810811,356.0,269.0,459.0,12990.0,50.19815090572913,0.13612758913987974,1.6759796837751488
ID330,330,0,38.289588928222656,76.38325849942733,127.58933626632248,0.0,16.0,16,0.31,1,,365.6756756756757,381.0,235.0,437.0,13530.0,52.86463534036406,0.13835085521447563,1.6813825557178907
ID395,395,0,32.98568344116211,76.42630411508887,127.34617687392932,0.0,13.0,13,0.31,1,,340.7837837837838,344.0,263.0,414.0,12609.0,40.758867566276734,0.12515610436672825,1.8600561868041434
ID428,428,0,36.79522705078125,76.3991380719003,127.38257355571986,0.0,14.0,14,0.31,1,,350.35135135135135,353.0,228.0,453.0,12963.0,50.480037977741596,0.13169644903284608,1.6153187401979723
ID492,492,0,34.52191162109375,76.4556293232768,127.25805027277531,0.0,19.0,19,0.31,1,,341.6756756756757,355.0,254.0,415.0,12642.0,43.21075872591998,0.13661599156304025,1.9008154010127705
ID269,269,0,37.1071662902832,76.43422249010266,127.31248759497171,0.0,10.0,10,0.31,1,,353.6756756756757,359.0,266.0,424.0,13086.0,44.351533891834656,0.1325491920223048,1.8665797642438915
ID525,525,0,30.672561645507812,76.42221018346127,127.53281419228438,0.0,18.0,18,0.31,1,,343.18918918918916,347.0,251.0,421.0,12698.0,43.72631920240932,0.12069243223707349,1.6904964913011986
ID47,47,0,31.454500198364258,76.44127639250333,127.30350046528743,0.0,2.0,2,0.31,1,,329.7567567567568,336.0,249.0,413.0,12201.0,49.36902166642863,0.11431272175973914,1.3704293598097355
ID240,240,0,37.37632369995117,76.42815358463939,127.32614888098321,0.0,6.0,6,0.31,1,,364.97297297297297,373.0,278.0,422.0,13504.0,43.80796888852687,0.13350400805808538,1.962496211402509
ID368,368,0,32.89043045043945,76.43411196503159,127.37201895161876,0.0,15.0,15,0.31,1,,352.72972972972974,357.0,236.0,410.0,13051.0,40.540548048047356,0.13049014470031312,2.0085996280371403
ID561,561,0,31.837331771850586,76.4486537730523,127.2938484575607,0.0,20.0,20,0.31,1,,342.81081081081084,350.0,268.0,403.0,12684.0,39.08170774006529,0.12181669918437453,1.9050040317067896
ID180,180,0,33.286006927490234,76.40537199857583,127.46741793445612,0.0,8.0,8,0.31,1,,348.6216216216216,354.0,229.0,409.0,12899.0,45.67357085968946,0.11873664892449849,1.620228509151534
ID54,54,0,32.26790237426758,76.39717634331458,127.44287516402733,0.0,0.0,0,0.31,1,,354.7837837837838,372.0,224.0,430.0,13127.0,53.015267787861056,0.11517468408197944,1.3823146961555788
ID86,86,0,38.6999397277832,76.41710046932873,127.32123375303867,0.0,4.0,4,0.31,1,,363.7027027027027,371.0,258.0,455.0,13457.0,52.88554983529415,0.13676152632007985,1.6547564122005118
ID598,598,0,32.224117279052734,76.41480377118815,127.353053160749,0.0,21.0,21,0.31,1,,343.56756756756755,353.0,243.0,416.0,12712.0,41.76757151223937,0.127379618391932,1.8588001350477608
ID153,153,0,35.16274642944336,76.37819467116604,127.4533171132034,0.0,9.0,9,0.31,1,,358.1081081081081,375.0,248.0,418.0,13250.0,47.75154667872246,0.12872057180558236,1.7104808909677252
ID58,58,0,32.86208724975586,76.40249740537766,127.56972246428015,0.0,5.0,5,0.31,1,,348.2972972972973,351.0,224.0,449.0,12887.0,54.87200503842498,0.11975184206867787,1.3576558255002598
ID123,123,0,31.58417510986328,76.39978820057111,127.45589137759096,0.0,7.0,7,0.31,1,,340.35135135135135,352.0,226.0,420.0,12593.0,48.51358126924426,0.12036668810781423,1.5074407915895045
ID219,219,0,30.347854614257812,76.4063993869292,127.45549671185395,0.0,11.0,11,0.31,1,,345.5135135135135,347.0,256.0,420.0,12784.0,46.42055436838155,0.11422992061198967,1.5261238147075455
ID671,671,0,33.08332824707031,76.39405131820034,127.41637472022796,0.0,22.0,22,0.31,1,,340.4594594594595,345.0,235.0,426.0,12597.0,45.73024442592949,0.12377793498556144,1.6400406427072163
ID64,64,1,44.07930374145508,106.40449092963166,94.52438918043494,0.0,3.0,3,0.31,1,,349.4594594594595,335.0,249.0,485.0,12930.0,68.04352961099183,0.15466635232594278,1.375876001651979
ID512,512,1,37.66004180908203,106.53094603791976,94.22140449389978,0.0,18.0,18,0.31,1,,336.13513513513516,318.0,236.0,511.0,12437.0,67.93876416064451,0.13280723422704604,1.1600907980718187
ID257,257,1,56.57197952270508,106.42119929783426,94.36929988616224,0.0,10.0,10,0.31,1,,386.7027027027027,349.0,243.0,715.0,14308.0,129.122436484151,0.1972725815959925,0.9869137089768619
ID770,770,1,54.65278625488281,106.67212573444043,94.1822172716701,0.0,26.0,26,0.31,1,,371.2432432432432,353.0,240.0,634.0,13736.0,103.08772030692151,0.16937457699985956,1.0432206951813112
