LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID256,256,0,142.59750366210938,17.324930271139777,32.77003626782349,0.0,4.0,4,0.31,1,,569.9459459459459,428.0,277.0,1321.0,21088.0,289.69533286866374,0.3408348362726089,1.0002092304238457
ID320,320,0,150.86009216308594,17.254227006136624,32.80091871993571,0.0,3.0,3,0.31,1,,586.3783783783783,484.0,263.0,1238.0,21696.0,297.01191066197174,0.3552893201627396,1.0351045441011721
ID193,193,0,137.29591369628906,17.37684771806304,32.727192795239624,0.0,6.0,6,0.31,1,,552.5675675675676,415.0,268.0,1305.0,20445.0,296.25922775506933,0.3357567949154348,0.9376503465310689
ID130,130,0,173.41290283203125,17.567256774655657,32.700329068558204,0.0,1.0,1,0.31,1,,607.8378378378378,462.0,286.0,1251.0,22490.0,309.3868051407416,0.36729834553252444,1.0555325321300644
ID3,3,0,109.02227783203125,17.338383427040803,32.79700491916692,0.0,8.0,8,0.31,1,,519.1351351351351,464.0,250.0,1087.0,19208.0,202.41831852793285,0.297537563097729,1.1762035020673307
ID1093,1093,0,97.7795639038086,17.658242886331905,32.886134101306226,0.0,31.0,31,0.31,1,,520.2432432432432,455.0,262.0,996.0,19249.0,183.42367552948213,0.271237371169084,1.2103303600388278
ID783,783,0,86.31072998046875,17.421719919693366,32.87020232047433,0.0,23.0,23,0.31,1,,494.27027027027026,508.0,241.0,716.0,18288.0,133.13644810424307,0.2439318531034018,1.4560270536772133
ID593,593,0,86.36117553710938,17.48403342257305,32.80141512752898,0.0,18.0,18,0.31,1,,479.4054054054054,456.0,248.0,732.0,17738.0,135.78566841809095,0.2423765406698313,1.3775784115113852
ID852,852,0,85.47782135009766,17.427377168159893,32.88258867917336,0.0,28.0,28,0.31,1,,483.4054054054054,450.0,229.0,865.0,17886.0,146.23942686556853,0.2246864077679875,1.212910972144734
ID471,471,0,100.16876220703125,17.62401534659469,32.7826399882752,0.0,16.0,16,0.31,1,,495.8918918918919,462.0,265.0,875.0,18348.0,171.3206518951109,0.26852218340958545,1.2254324832970307
ID535,535,0,108.6173095703125,17.483564609710633,32.74075291739094,0.0,17.0,17,0.31,1,,485.4864864864865,388.0,268.0,952.0,17963.0,204.99127645688588,0.28329233818107263,1.0456371129118183
ID220,220,0,118.67306518554688,17.331928671109274,32.77049599127899,0.0,7.0,7,0.31,1,,522.8378378378378,425.0,253.0,1108.0,19345.0,235.50719657717391,0.3020526595998872,1.0300230369323211
ID92,92,0,120.89842224121094,17.44027401397908,32.70238589362598,0.0,11.0,11,0.31,1,,538.5945945945946,497.0,280.0,970.0,19928.0,198.66659108771765,0.2938050190129867,1.2312819848335215
ID412,412,0,125.25112915039062,17.316102548326523,32.77488774852011,0.0,12.0,12,0.31,1,,518.7297297297297,429.0,250.0,901.0,19193.0,200.10464604643585,0.2953674735407374,1.1821800962823927
ID1053,1053,0,90.56243896484375,17.6725867268644,32.84439369374267,0.0,32.0,32,0.31,1,,495.6216216216216,451.0,272.0,843.0,18338.0,154.0361341719229,0.24573176551466938,1.2693880086823315
ID672,672,0,103.77696228027344,17.429090252593067,32.826357740675036,0.0,20.0,20,0.31,1,,518.7837837837837,479.0,283.0,978.0,19195.0,175.31117336755096,0.2752110791560952,1.2772932807557758
ID353,353,0,176.015869140625,17.281759267700487,32.745420024467016,0.0,5.0,5,0.31,1,,627.8378378378378,455.0,290.0,1400.0,23230.0,338.2407519893283,0.3864484954974742,1.0347595190093488
ID290,290,0,132.26092529296875,17.43582455351629,32.72744839868873,0.0,2.0,2,0.31,1,,559.7027027027027,432.0,301.0,1322.0,20709.0,295.00770845530127,0.35538841999958765,0.9949323163098802
ID163,163,0,133.8897247314453,17.436850476679574,32.770517318245346,0.0,9.0,9,0.31,1,,533.7027027027027,420.0,252.0,980.0,19747.0,231.67576299466276,0.30807449672053994,1.085105750611013
ID36,36,0,101.3483657836914,17.407787240114782,32.75742232872204,0.0,10.0,10,0.31,1,,496.81081081081084,413.0,295.0,1014.0,18382.0,203.65586957712074,0.28407932343787057,1.079373804777911
ID743,743,0,87.896484375,17.75116913402921,32.837405091714885,0.0,22.0,22,0.31,1,,510.1081081081081,489.0,309.0,905.0,18874.0,151.3978907426432,0.24780589392261543,1.3382492128144352
ID811,811,0,85.75697326660156,17.379124190849407,32.922921484463316,0.0,27.0,27,0.31,1,,461.2972972972973,410.0,259.0,719.0,17068.0,136.9239174109445,0.22386435097113935,1.2324895495855004
ID939,939,0,85.21712493896484,17.70865639463062,32.891343563583185,0.0,29.0,29,0.31,1,,486.8378378378378,466.0,269.0,814.0,18013.0,149.3955438710557,0.2261098155491935,1.2018955397546223
ID558,558,0,98.46185302734375,17.412640268451252,32.83923956518668,0.0,19.0,19,0.31,1,,522.2972972972973,517.0,288.0,807.0,19325.0,149.3651128508158,0.2753153394533071,1.5097722151660102
ID632,632,0,82.73841857910156,17.477096341653706,32.80939525613704,0.0,21.0,21,0.31,1,,481.97297297297297,467.0,249.0,795.0,17833.0,137.50484566946207,0.22609331179952377,1.2927033378900727
ID60,60,0,105.65972137451172,17.554096936972282,32.689202278996795,0.0,0.0,0,0.31,1,,530.6216216216217,463.0,278.0,1254.0,19633.0,238.9211110331134,0.32337527088648554,1.0853859690351133
