statistic,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
count,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
mean,25.184738955823292,1.0883534136546185,0.0,0.0,0.0,1.1164658634538152,25.843373493975903,61.30522088353413,87.14859437751004,0.7348968265616681,88.64839147025171,91.050043339693,0.0,0.09204532648753855,0.26944389678659847,0.016449577798091634,0.07864030733289942,0.06497813542166224,43.34615081412437,2.305582486548064,0.7869785272025765,0.34092727183073557,0.030227582564439893,0.3287376936778954,1.6793083191542828
std,13.296783204248113,1.1675315580793881,0.0,0.0,0.0,1.0843879088844712,13.301541804621788,32.07166893753608,28.442322934376428,0.4891057397171497,47.972628724544386,44.40059551540152,0.0,0.02431204861728851,0.1300678699568209,0.011389900070143013,0.019411409616607568,0.031219823080546175,7.567479834806782,1.3258870603736468,0.47462577633491976,0.16306238405192622,0.018026997172151095,0.15887866681752535,0.28559152864249243
min,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.02668406459908046,0.0,2.8378020863841895,0.0,0.04722235025810541,0.08677284406329763,0.0,0.03959584424461987,0.02131878779765536,30.946471214294434,0.39217771225951864,0.10832788668942926,0.011733882942447572,0.00121291202723093,0.011372159031866799,0.39269908169872414
25%,14.0,0.0,0.0,0.0,0.0,0.0,14.0,39.0,64.0,0.3641494108685094,52.4045478309797,54.00053651551881,0.0,0.07787880738201144,0.19098191598429093,0.00850260324705757,0.06462330689819071,0.048709368621129887,37.40266535832332,1.1936543333072298,0.4244265847171645,0.22476709296118563,0.018583536872943982,0.2191945281715285,1.5649617288940822
50%,24.0,1.0,0.0,0.0,0.0,1.0,25.0,64.0,90.0,0.621985774414386,83.7486300949267,98.96919085048812,0.0,0.08754191452206797,0.24164627550395984,0.013909580755812674,0.07719871822910217,0.057797600097713,41.70164113431363,2.1816636139066845,0.6650690356902359,0.3420276307067506,0.027788720378386037,0.3266617510944384,1.707988034226397
75%,36.0,2.0,0.0,0.0,0.0,2.0,36.0,87.0,116.0,1.003756988836383,116.45999085900604,119.87219996090454,0.0,0.10300192292690596,0.3076407792413852,0.02186565015835945,0.08777843016533252,0.07049511932254493,47.06488298114977,3.1531363423700522,1.0510572103797906,0.42881994543824903,0.03755246462950279,0.41650146974316954,1.8790633307706208
max,70.0,6.0,0.0,0.0,0.0,3.0,69.0,111.0,119.0,2.366845294283867,195.88331012075326,168.43810013207624,0.0,0.2301424112616573,0.8422943288349886,0.0639207129960286,0.18119090146662448,0.25944784728821196,86.37716685703822,7.618850757984595,2.367850497523072,0.9225153126302998,0.11758600162592901,0.9711972446640871,2.3829232924855663
