LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,COLONY_LABEL
Track_0,0,0,8,2,0,0,0,3,12.0,0.0,12.0,0.20108395472019255,57.02487160508912,44.79265221248605,0.0,0.09363352214647275,0.25695559343950025,0.003168016581279326,0.07619605038903382,0.08930493962351681,35.273823261260986,0.6995054081652781,0.3474766884710906,0.28746590429888536,0.016756996226682714,0.17896364296185951,1.47755591789448,41
Track_1,1,1,29,0,0,0,0,0,28.0,0.0,28.0,0.34087001481638524,83.10540954631212,49.05926031058589,0.0,0.0896045279905163,0.2265756597705411,0.02335821841414887,0.07420732183800557,0.05512959957851971,72.54540568384631,2.5089267837344558,0.42979601560031194,0.13586287851294382,0.012173929100585188,0.1358628785129438,2.076677606534211,44
Track_2,2,2,10,0,0,0,0,0,9.0,0.0,9.0,0.08782928171443821,114.58596530949112,54.884671403280414,0.0,0.0635460822292628,0.14065878539333157,0.009652914696742872,0.06681783974060287,0.038848727812920106,37.441175270080564,0.5719147400633652,0.16320319297070443,0.15357058589660966,0.009758809079382024,0.15357058589660966,1.6278445168068794,47
Track_3,3,3,41,0,0,0,0,0,40.0,0.0,40.0,1.5554795357093905,55.951892482102934,56.005812269734,0.0,0.09425350276074088,0.29798559905404504,0.011277717542560824,0.07271361228179886,0.07522644153715043,53.69706735378358,3.770140110429634,1.5554795357093905,0.4125787079918716,0.03888698839273476,0.41257870799187146,1.9141574315863574,49
Track_4,4,4,39,4,0,0,0,3,44.0,0.0,44.0,1.217290043225724,60.047492127933566,56.555347475600406,0.0,0.1034126636108891,0.41271254720775524,0.012711203023174368,0.07315175559816953,0.08686262047733033,43.03404568403195,4.185840364097633,1.217290043225724,0.2908113872823582,0.027665682800584637,0.26752703039042025,1.8289280641295194,52
Track_5,5,5,79,0,0,0,0,0,78.0,0.0,78.0,0.4782439001950528,53.02638680046473,58.457095498251796,0.0,0.11315031542137058,0.8319422860731711,0.008776075690638874,0.09035932550595277,0.12251769131806056,76.81010881254944,8.825724602866902,1.0217393395693342,0.054187494139540965,0.006131332053782728,0.05418749413954095,1.7996785984559345,53
Track_6,6,6,20,0,0,0,0,0,19.0,0.0,19.0,0.3543365888782459,45.78735873716588,62.528886112575506,0.0,0.1021954543718663,0.2041890088782416,0.0412365603563962,0.101343794581886,0.040857772058287035,68.19847507476807,1.94171363306546,0.6651191472864824,0.1824865329491665,0.018649294151486626,0.18248653294916653,1.797536169014544,56
Track_7,7,7,32,2,0,0,0,2,34.0,0.0,34.0,0.4214570432791411,174.9124528073348,63.03344138760475,0.0,0.08777665911486202,0.26411297535376055,0.007205073892390438,0.07887779230773491,0.06363417121139288,43.08608019351959,2.7933735070052013,0.4891883001699459,0.15087743984906216,0.012395795390562972,0.14121972191197424,1.7047263521874914,57
Track_8,8,8,28,0,0,0,0,0,27.0,0.0,27.0,1.0188363343448963,118.66294335692115,65.93257523905307,0.0,0.12920612495080155,0.38802246644208743,0.009531408658641756,0.097797532786346,0.09880082563955829,75.97345120566231,3.4885653736716415,1.0188363343448963,0.292050234183398,0.037734679049810975,0.292050234183398,1.9091857246611925,58
Track_9,9,9,42,0,0,0,0,0,41.0,0.0,41.0,0.9276806653634099,110.16752734523705,67.71411666417643,0.0,0.07261068186373147,0.22289649940828604,0.004072504264759365,0.061688639263206904,0.05226490014370598,59.114780607677645,2.977037956412992,0.9276806653634099,0.31161197100797616,0.022626357691790486,0.31161197100797633,1.5520657062666232,61
Track_10,10,10,42,1,0,0,0,1,42.0,0.0,42.0,1.3355028192094105,69.53681822796489,68.5740499713619,0.0,0.08429284923247032,0.27966690502046204,0.00892516161766203,0.07449268799763159,0.060495255134329774,49.87518637520926,3.499978540381713,1.3355028192094105,0.3815745736154595,0.03179768617165263,0.37722875025802177,1.7292888194947225,63
Track_11,11,11,44,0,0,0,0,0,43.0,0.0,43.0,0.926950969480441,27.975943295485934,72.46069758782959,0.0,0.08332099430346603,0.19003670743117224,0.004360723718227986,0.0736316424518573,0.0492289710155706,59.40068400989879,3.5828027550490398,0.926950969480441,0.2587223000691684,0.021556999290242813,0.25872230006916846,1.8776998236173865,68
Track_12,12,12,45,1,0,0,0,1,45.0,0.0,45.0,1.345181098566669,148.4030064106168,72.80793858896651,0.0,0.07686498245227205,0.3238758166040651,0.009271854944163174,0.06472718716451752,0.057800025898098656,45.411766603257924,3.4548748374170417,1.3773883738970967,0.3893574042098622,0.029892913301481534,0.3889015823303285,1.6485917496644003,69
Track_13,13,13,39,0,0,0,0,0,38.0,0.0,38.0,0.15355872463618184,9.177501876245966,75.54024011546676,0.0,0.15461978297645934,0.5778848282946972,0.016279087769168303,0.09842302086543753,0.13204299625613786,89.75357221945738,5.875551753105455,0.8455200101563218,0.02613520075880876,0.004041019069373206,0.02613520075880876,1.7610963769179546,72
