 ,Area,X,Y
228,1.214,138.602,2.083
229,1.033,106.283,3.362
230,1.320,97.910,9.251
231,1.086,56.711,8.964
232,0.947,54.825,11.259
233,1.203,18.722,11.762
234,1.139,132.226,14.381
235,1.118,43.305,16.350
236,1.395,108.537,15.919
237,0.958,143.497,19.007
238,1.373,159.957,19.241
239,1.192,95.316,19.532
240,1.214,167.295,21.052
241,0.852,165.352,20.675
242,1.235,81.094,22.174
243,1.224,161.593,22.137
244,2.342,114.534,23.374
245,1.277,16.573,23.691
246,1.245,115.891,26.085
247,1.128,65.951,26.497
248,1.033,129.437,27.223
249,1.001,35.464,29.336
250,1.437,87.759,29.515
251,1.373,136.974,30.210
252,1.054,175.255,30.837
253,1.320,45.434,31.904
254,1.203,52.837,32.529
255,1.277,32.350,34.600
256,0.969,28.143,36.557
257,1.107,17.437,37.040
258,1.320,131.270,39.268
259,0.947,124.466,39.178
260,1.075,67.342,42.089
261,1.405,177.358,43.139
262,1.118,12.274,43.845
263,1.320,57.140,44.202
264,1.820,85.998,45.015
265,1.139,150.682,47.169
266,1.224,83.255,48.676
267,1.235,76.836,50.276
268,1.267,139.809,52.800
269,1.107,114.053,54.707
270,1.331,56.249,56.272
271,1.054,158.969,56.404
272,1.001,129.447,56.503
273,1.182,60.238,56.810
274,1.277,53.340,58.957
275,1.128,130.400,59.414
276,1.022,160.907,61.436
277,1.150,45.401,62.696
278,1.150,174.455,62.990
279,1.235,118.714,65.430
280,0.937,36.211,65.315
281,0.915,165.899,66.284
282,1.150,110.467,67.425
283,1.171,69.283,68.743
284,1.533,31.512,69.376
285,0.969,58.264,69.509
286,0.969,66.241,71.094
287,1.022,157.323,71.505
288,1.171,28.485,72.504
289,1.256,148.133,72.835
290,1.203,64.146,73.853
291,0.979,131.576,73.781
292,1.661,9.230,75.164
293,1.033,118.614,75.220
294,1.299,49.807,76.407
295,1.086,79.654,77.766
296,0.958,113.703,77.324
297,1.033,25.039,78.169
298,2.182,34.327,78.518
299,2.214,19.700,80.117
300,1.182,53.538,80.544
301,1.054,179.008,80.132
302,0.862,144.072,82.363
303,1.214,63.099,83.539
304,1.086,92.449,85.682
305,1.075,85.859,86.598
306,1.043,79.402,87.415
307,1.352,122.987,87.163
308,1.011,63.942,87.749
309,1.022,90.547,88.344
310,1.075,161.154,89.932
311,1.096,25.760,91.083
312,2.076,44.384,92.182
313,0.926,69.891,93.065
314,1.128,136.806,94.666
315,1.139,98.678,95.834
316,1.224,162.787,96.280
317,1.299,32.426,97.150
318,1.118,87.971,97.870
319,1.150,72.116,99.826
320,1.011,105.420,100.591
321,1.011,141.773,101.089
322,1.118,104.894,101.464
323,1.139,126.701,103.064
324,1.277,2.273,104.518
325,1.139,76.164,104.632
326,0.947,136.515,106.574
327,1.139,7.121,107.719
328,1.054,84.012,108.357
329,1.075,50.834,108.452
330,1.065,132.374,110.359
331,0.852,27.995,110.831
332,0.947,13.291,112.279
333,1.160,49.208,113.126
334,0.266,141.881,113.520
335,1.160,68.671,114.575
336,0.958,174.677,115.152
337,1.299,38.319,1.588
338,1.352,143.634,1.869
339,1.309,129.392,2.028
340,1.235,138.598,2.078
341,1.054,106.289,3.356
342,1.309,97.907,9.251
343,1.096,56.694,8.976
344,0.958,54.832,11.254
345,1.075,18.714,11.772
346,1.107,132.246,14.367
347,1.086,43.277,16.322
348,1.395,108.534,15.919
349,0.947,143.493,18.984
350,1.395,159.994,19.201
351,1.192,95.317,19.546
352,1.245,167.291,21.017
353,0.862,165.388,20.675
354,1.235,81.093,22.165
355,1.203,161.597,22.152
356,2.246,114.521,23.372
357,1.224,16.577,23.693
358,1.245,115.899,26.084
359,1.086,65.963,26.480
360,1.022,129.446,27.209
361,0.990,35.460,29.325
362,1.405,87.761,29.518
363,1.373,136.974,30.232
364,1.054,175.268,30.828
365,1.256,45.417,31.886
366,1.182,52.831,32.529
367,1.214,32.313,34.664
368,0.937,28.142,36.541
369,1.107,17.437,37.040
370,1.288,131.283,39.261
371,0.926,124.468,39.185
372,1.033,67.341,42.076
373,1.395,177.360,43.137
374,1.043,12.245,43.860
375,1.267,57.136,44.210
376,1.746,86.007,45.003
377,1.118,150.687,47.171
378,1.182,83.245,48.665
379,1.192,76.813,50.261
380,1.245,139.805,52.789
381,1.086,114.048,54.702
382,1.277,56.228,56.245
383,1.054,158.977,56.392
384,1.001,129.447,56.503
385,1.182,60.233,56.806
386,1.245,53.332,58.953
387,1.107,130.403,59.430
388,1.001,160.900,61.429
389,1.150,45.397,62.696
390,1.139,174.464,62.993
391,1.214,118.723,65.447
392,0.905,36.204,65.302
393,0.894,165.898,66.284
394,1.128,110.488,67.410
395,1.150,69.277,68.753
396,1.512,31.504,69.384
397,0.926,58.258,69.498
398,0.947,66.229,71.107
399,1.043,157.365,71.550
400,1.182,28.452,72.496
401,1.235,148.133,72.836
402,1.160,64.148,73.843
403,1.001,131.590,73.787
404,1.639,9.224,75.184
405,1.011,118.611,75.225
406,1.288,49.800,76.405
407,1.065,79.668,77.758
408,0.958,113.703,77.324
409,0.990,25.029,78.166
410,2.193,34.320,78.517
411,2.118,19.673,80.140
412,1.171,53.534,80.543
413,1.033,179.005,80.138
414,0.841,144.064,82.370
415,1.214,63.095,83.530
416,1.054,92.458,85.704
417,1.075,85.846,86.597
418,1.022,79.397,87.418
419,1.341,122.990,87.165
420,0.979,63.953,87.762
421,1.011,90.535,88.354
422,1.054,161.140,89.927
423,1.086,25.751,91.087
424,2.086,44.392,92.189
425,0.852,69.896,93.108
426,1.075,136.833,94.692
427,1.096,98.668,95.856
428,1.192,162.786,96.311
429,1.245,32.424,97.160
430,1.065,87.949,97.878
431,1.150,72.099,99.825
432,0.990,105.432,100.604
433,0.979,141.768,101.089
434,1.096,104.866,101.465
435,1.128,126.700,103.082
436,1.245,2.274,104.519
437,1.118,76.148,104.640
438,0.884,136.541,106.600
439,1.096,7.115,107.696
440,1.001,83.982,108.326
441,0.979,50.824,108.503
442,1.001,132.385,110.353
443,0.788,27.969,110.846
444,0.905,13.293,112.285
445,1.182,49.186,113.121
446,1.096,68.704,114.637
447,0.947,174.663,115.155
448,1.288,38.313,1.606
449,1.256,143.602,1.855
450,1.352,129.368,2.022
451,1.267,138.578,2.091
452,1.043,106.291,3.393
453,1.363,97.898,9.257
454,1.171,56.719,8.949
455,0.947,54.825,11.259
456,1.214,18.706,11.767
457,1.214,132.208,14.397
458,1.214,43.288,16.348
459,1.395,108.522,15.925
460,0.947,143.471,18.978
461,1.426,159.976,19.201
462,1.277,95.291,19.532
463,1.309,167.282,21.064
464,0.830,165.363,20.681
465,1.341,81.064,22.211
466,1.235,161.579,22.169
467,2.246,114.513,23.375
468,1.288,16.574,23.695
469,1.245,115.884,26.088
470,1.214,65.930,26.513
471,1.022,129.419,27.210
472,1.065,35.454,29.310
473,1.480,87.745,29.512
474,1.458,136.964,30.213
475,1.086,175.235,30.852
476,1.320,45.426,31.913
477,1.203,52.826,32.540
478,1.352,32.340,34.650
479,0.979,28.148,36.549
480,1.171,17.423,37.050
481,1.384,131.248,39.275
482,1.001,124.468,39.196
483,1.096,67.336,42.078
484,1.437,177.349,43.140
485,1.150,12.263,43.842
486,1.299,57.129,44.187
487,1.820,85.979,45.014
488,1.214,150.664,47.150
489,1.224,83.249,48.682
490,1.235,76.827,50.307
491,1.352,139.780,52.796
492,1.171,114.028,54.702
493,1.448,56.214,56.254
494,1.043,129.427,56.492
495,1.118,158.962,56.401
496,1.235,60.232,56.805
497,1.299,53.335,58.980
498,1.192,130.383,59.441
499,1.075,160.874,61.423
500,1.150,45.401,62.696
501,1.203,174.468,62.981
502,1.245,118.713,65.439
503,0.958,36.204,65.282
504,0.915,165.899,66.284
505,1.214,110.451,67.433
506,1.203,69.293,68.744
507,1.597,31.482,69.415
508,1.022,58.252,69.502
509,0.979,66.232,71.099
510,1.096,157.345,71.536
511,1.235,28.460,72.498
512,1.309,148.134,72.841
513,1.277,64.180,73.823
514,1.022,131.580,73.787
515,1.725,9.224,75.151
516,1.054,118.613,75.235
517,1.341,49.777,76.415
518,1.150,79.669,77.732
519,1.043,113.701,77.331
520,1.054,25.039,78.151
521,2.267,34.332,78.511
522,2.310,19.700,80.112
523,1.214,53.544,80.520
524,1.075,179.007,80.128
525,0.862,144.072,82.363
526,1.288,63.091,83.528
527,1.118,92.444,85.684
528,1.107,85.850,86.594
529,1.086,79.374,87.391
530,1.373,122.969,87.158
531,1.054,63.933,87.745
532,1.043,90.545,88.352
533,1.139,161.143,89.935
534,1.128,25.755,91.094
535,2.182,44.385,92.192
536,0.958,69.888,93.084
537,1.139,136.792,94.660
538,1.150,98.684,95.830
539,1.256,162.772,96.300
540,1.299,32.426,97.150
541,1.107,87.951,97.869
542,1.160,72.103,99.834
543,1.065,105.441,100.604
544,1.033,141.759,101.074
545,1.182,104.881,101.453
546,1.214,126.672,103.056
547,1.331,2.300,104.494
548,1.203,76.162,104.627
549,0.947,136.503,106.575
550,1.171,7.109,107.737
551,1.086,83.991,108.351
552,1.075,50.834,108.452
553,1.054,132.351,110.359
554,0.873,28.007,110.816
555,0.990,13.298,112.270
556,1.235,49.200,113.111
557,0.298,141.867,113.493
558,1.192,68.686,114.598
559,1.065,174.682,115.159
560,1.320,38.306,1.593
561,1.256,143.602,1.855
562,1.341,129.369,2.030
563,1.256,138.574,2.088
564,1.054,106.276,3.363
565,1.352,97.897,9.245
566,1.150,56.676,8.982
567,0.947,54.825,11.259
568,1.192,18.699,11.769
569,1.203,132.212,14.393
570,1.192,43.288,16.352
571,1.384,108.525,15.924
572,0.947,143.474,18.977
573,1.426,159.968,19.209
574,1.235,95.294,19.530
575,1.309,167.275,21.055
576,0.830,165.363,20.681
577,1.320,81.070,22.217
578,1.203,161.579,22.146
579,2.310,114.522,23.373
580,1.256,16.565,23.699
581,1.277,115.887,26.091
582,1.139,65.950,26.470
583,1.022,129.419,27.210
584,1.054,35.452,29.306
585,1.501,87.734,29.499
586,1.426,136.964,30.217
587,1.096,175.227,30.856
588,1.341,45.421,31.932
589,1.224,52.821,32.542
590,1.352,32.336,34.646
591,0.969,28.145,36.546
592,1.150,17.440,37.041
593,1.363,131.257,39.268
594,0.979,124.457,39.191
595,1.118,67.321,42.081
596,1.448,177.345,43.137
597,1.086,12.247,43.857
598,1.309,57.126,44.185
599,1.863,85.979,45.012
600,1.150,150.674,47.169
601,1.245,83.242,48.654
602,1.267,76.820,50.283
603,1.309,139.786,52.811
604,1.150,114.024,54.699
605,1.384,56.201,56.242
606,1.107,158.960,56.406
607,1.022,129.431,56.522
608,1.235,60.224,56.798
609,1.320,53.335,58.996
610,1.192,130.383,59.441
611,1.086,160.882,61.426
612,1.171,45.387,62.707
613,1.150,174.455,62.990
614,0.958,36.202,65.275
615,1.256,118.716,65.421
616,0.926,165.910,66.283
617,1.182,110.468,67.413
618,1.192,69.285,68.750
619,1.661,31.496,69.384
620,1.011,58.252,69.498
621,0.979,66.232,71.099
622,1.096,157.345,71.536
623,1.224,28.458,72.500
624,1.299,148.131,72.839
625,1.267,64.177,73.821
626,1.033,131.589,73.785
627,1.756,9.199,75.192
628,1.043,118.608,75.236
629,1.352,49.760,76.414
630,1.128,79.666,77.743
631,1.011,113.685,77.319
632,1.075,25.033,78.134
